Date,Open,High,Low,Close,Adj Close,Volume
2019-05-23,15.930000,18.049999,15.280000,16.920000,16.920000,0
2019-05-24,16.340000,16.520000,15.520000,15.850000,15.850000,0
2019-05-27,null,null,null,null,null,null
2019-05-28,16.549999,17.700001,15.900000,17.500000,17.500000,0
2019-05-29,18.549999,19.040001,17.620001,17.900000,17.900000,0
2019-05-30,17.469999,18.110001,16.719999,17.299999,17.299999,0
2019-05-31,19.049999,19.719999,18.010000,18.709999,18.709999,0
2019-06-03,19.410000,19.750000,18.160000,18.860001,18.860001,0
2019-06-04,18.740000,18.740000,16.969999,16.969999,16.969999,0
2019-06-05,17.059999,17.490000,16.040001,16.090000,16.090000,0
2019-06-06,16.250000,16.540001,15.360000,15.930000,15.930000,0
2019-06-07,15.650000,16.440001,15.330000,16.299999,16.299999,0
2019-06-10,16.299999,16.469999,15.840000,15.940000,15.940000,0
2019-06-11,15.840000,16.700001,15.500000,15.990000,15.990000,0
2019-06-12,16.260000,16.430000,15.780000,15.910000,15.910000,0
2019-06-13,16.160000,16.209999,15.610000,15.820000,15.820000,0
2019-06-14,16.000000,16.400000,15.210000,15.280000,15.280000,0
2019-06-17,15.650000,15.760000,15.240000,15.350000,15.350000,0
2019-06-18,14.890000,15.540000,14.620000,15.150000,15.150000,0
2019-06-19,15.050000,15.710000,14.150000,14.330000,14.330000,0
2019-06-20,14.040000,16.030001,13.190000,14.750000,14.750000,0
2019-06-21,14.740000,15.480000,14.420000,15.400000,15.400000,0
2019-06-24,15.460000,15.560000,15.230000,15.260000,15.260000,0
2019-06-25,15.430000,16.680000,15.100000,16.280001,16.280001,0
2019-06-26,16.100000,16.600000,15.470000,16.209999,16.209999,0
2019-06-27,15.660000,16.400000,15.660000,15.820000,15.820000,0
2019-06-28,15.700000,16.129999,15.080000,15.080000,15.080000,0
